iter	MultiClass
0	0.6534532774
1	0.6256861201
2	0.5981878613
3	0.5797282541
4	0.5627329542
5	0.5473683033
6	0.5360606699
7	0.5224869518
8	0.511851432
9	0.4990644855
10	0.4904190737
11	0.4830133307
12	0.4779674657
13	0.4714627465
14	0.4675720536
15	0.4625475049
16	0.4556764533
17	0.4503900574
18	0.4451691583
19	0.4410004181
20	0.4388813922
21	0.4350675909
22	0.4316450045
23	0.4271259303
24	0.4233979828
25	0.4192576425
26	0.4140507761
27	0.4108958908
28	0.4082317733
29	0.4051006492
30	0.4013194543
31	0.3987990364
32	0.3953027536
33	0.3938270031
34	0.3916415907
35	0.3878193072
36	0.3832803373
37	0.3808161338
38	0.3772449309
39	0.3735157407
40	0.3686777012
41	0.3651335327
42	0.3614736718
43	0.3599611893
44	0.3580803534
45	0.3548336268
46	0.3517480741
47	0.348559211
48	0.3467399021
49	0.3449205414
50	0.3403507505
51	0.3379541647
52	0.3350493797
53	0.3320461115
54	0.3285513208
55	0.3268238647
56	0.3242849201
57	0.322133815
58	0.3186572059
59	0.3136571227
60	0.3106941038
61	0.3077981761
62	0.3050365885
63	0.3032156383
64	0.3013902848
65	0.2986829876
66	0.2965860286
67	0.2940171031
68	0.2926438461
69	0.2899957828
70	0.2873041071
71	0.2853648676
72	0.2836570522
73	0.2816688261
74	0.2799320906
75	0.2774808601
76	0.2756282757
77	0.2736673246
78	0.272076761
79	0.2688632289
80	0.2672927408
81	0.2651545567
82	0.262905152
83	0.2603446643
84	0.2590250893
85	0.2576772306
86	0.2564207047
87	0.2531721306
88	0.2511785145
89	0.248990654
90	0.2464347787
91	0.2443558914
92	0.2429996843
93	0.2420047095
94	0.2404450197
95	0.2394300314
96	0.2377448487
97	0.2357759628
98	0.2344772595
99	0.2334515566
100	0.2322001674
101	0.2305857294
102	0.229710184
103	0.2288310287
104	0.2281790232
105	0.226587822
106	0.2252354038
107	0.2234106014
108	0.222778071
109	0.2213053217
110	0.2199969948
111	0.2186627237
112	0.2180054018
113	0.2163459388
114	0.2153700648
115	0.2139763042
116	0.2129160209
117	0.2117716453
118	0.2110212353
119	0.2101236521
120	0.2082643696
121	0.2074757523
122	0.2055948855
123	0.2039781767
124	0.2031590984
125	0.2008027423
126	0.1992595157
127	0.1985722503
128	0.1975065737
129	0.1954772952
130	0.1946970433
131	0.1936559086
132	0.1923904805
133	0.1910580273
134	0.1893596593
135	0.1874858257
136	0.186708227
137	0.1856378723
138	0.1851404165
139	0.1839579774
140	0.1828157207
141	0.1815120486
142	0.1805267855
143	0.179218894
144	0.1784404136
145	0.1779277163
146	0.1772055208
147	0.1759924058
148	0.1748197427
149	0.1726283372
150	0.1718192242
151	0.1709203473
152	0.1697421373
153	0.1687133715
154	0.1681041472
155	0.1673537337
156	0.1662615824
157	0.1650709083
158	0.1638875973
159	0.1625679297
160	0.1618947117
161	0.1614370085
162	0.1604283227
163	0.1593094747
164	0.1579118608
165	0.1568131137
166	0.1559746351
167	0.1555095338
168	0.1545371601
169	0.1535175167
170	0.1525588317
171	0.1515757731
172	0.1510004462
173	0.1498210711
174	0.1492214055
175	0.1486905688
176	0.1478489637
177	0.1470365985
178	0.1463750411
179	0.1452777692
180	0.1443464337
181	0.1434336994
182	0.1432864594
183	0.1425923453
184	0.141652425
185	0.1409102815
186	0.1403016425
187	0.1396459447
188	0.1385934762
189	0.1381433407
190	0.1373961903
191	0.1366872416
192	0.1360569748
193	0.1352978961
194	0.1348181536
195	0.1344324043
196	0.1333445897
197	0.1328982493
198	0.1324455694
199	0.1318701291
200	0.1309926455
201	0.1303702039
202	0.1300082713
203	0.1294764071
204	0.1289809281
205	0.1281113933
206	0.1275124694
207	0.1265906003
208	0.1260319391
209	0.1252935845
210	0.1247017138
211	0.1242781051
212	0.1235878607
213	0.1223525448
214	0.1218288615
215	0.1215334651
216	0.1210660058
217	0.1205188465
218	0.1199803665
219	0.1195697693
220	0.1189258991
221	0.1181443698
222	0.1174701212
223	0.1166118887
224	0.1162220218
225	0.1155368431
226	0.1152079531
227	0.1147666046
228	0.1144135052
229	0.1137480126
230	0.1132898508
231	0.1128782855
232	0.1123439427
233	0.1120576754
234	0.1118067072
235	0.1113799709
236	0.1109898815
237	0.1104448016
238	0.1099359846
239	0.1094996641
240	0.1090281166
241	0.108680654
242	0.1081470062
243	0.1071976035
244	0.106643635
245	0.1061668577
246	0.1058608218
247	0.105467032
248	0.1049117808
249	0.1044009732
250	0.1039673798
251	0.1035964242
252	0.103166737
253	0.1027703366
254	0.1022387472
255	0.1018018492
256	0.1014067325
257	0.1010489229
258	0.1004874047
259	0.09967375619
260	0.09947838739
261	0.09917323566
262	0.09850350847
263	0.09822750185
264	0.09786718123
265	0.0973282328
266	0.09682452605
267	0.096521832
268	0.09615508455
269	0.0955633833
270	0.09539615006
271	0.09522012149
272	0.09472422397
273	0.09409315554
274	0.09384477012
275	0.09320041478
276	0.09298958705
277	0.0927037179
278	0.09223982158
279	0.0916655789
280	0.09134428114
281	0.09118493559
282	0.09097797449
283	0.09078386665
284	0.09027492313
285	0.08985191636
286	0.08955316628
287	0.08932247262
288	0.08910678175
289	0.0888119022
290	0.08845951087
291	0.08805615176
292	0.08778179782
293	0.08751293054
294	0.08713457887
295	0.08677045309
296	0.08627168362
297	0.08585457256
298	0.08537293571
299	0.08502094053
300	0.08472565595
301	0.08452682339
302	0.08426635898
303	0.0839311015
304	0.08367383037
305	0.08334924447
306	0.08278389185
307	0.08225856363
308	0.08187092848
309	0.08159600031
310	0.08140697562
311	0.08115750485
312	0.08084363396
313	0.08064042283
314	0.08026367032
315	0.08004341909
316	0.07985986911
317	0.07957101673
318	0.07936377329
319	0.07918580318
320	0.07893541538
321	0.07860367722
322	0.07830339142
323	0.07805890164
324	0.07781468338
325	0.07732638284
326	0.07694258628
327	0.07659077226
328	0.07632747913
329	0.07609858432
330	0.07581724879
331	0.07568456916
332	0.07549775024
333	0.07538776993
334	0.07512492457
335	0.07497240271
336	0.07473131881
337	0.07445886888
338	0.0741248614
339	0.07374264507
340	0.07345259188
341	0.07323399299
342	0.07288925353
343	0.07261388451
344	0.07240097186
345	0.0720294842
346	0.07188208293
347	0.07152597713
348	0.07137657727
349	0.07121977508
350	0.07099445878
351	0.07076450109
352	0.07052091499
353	0.07026308082
354	0.07008599729
355	0.06976143104
356	0.06943062488
357	0.06902880725
358	0.06888447389
359	0.06858984547
360	0.06832182242
361	0.06816013617
362	0.06770827663
363	0.06749433376
364	0.06718409093
365	0.06700968635
366	0.06676085924
367	0.06656951503
368	0.0663271533
369	0.06608655979
370	0.06587813572
371	0.06555687827
372	0.06539301471
373	0.06505488235
374	0.06482562162
375	0.06459598591
376	0.06438247412
377	0.06409187523
378	0.06384205341
379	0.06371806591
380	0.06350064825
381	0.06328902583
382	0.06289242193
383	0.06278689221
384	0.0626529218
385	0.06245412147
386	0.06227670238
387	0.06216406798
388	0.06198127576
389	0.0617779948
390	0.06154361589
391	0.06125461183
392	0.06099182966
393	0.06082065768
394	0.06069322072
395	0.0604700775
396	0.06025610874
397	0.05992716632
398	0.05981618814
399	0.05956251468
400	0.05938045721
401	0.05921387785
402	0.0590291656
403	0.05886182667
404	0.05852303928
405	0.05836503999
406	0.0581924482
407	0.05801835863
408	0.05789627433
409	0.05772175082
410	0.05752353671
411	0.05733993507
412	0.05718810247
413	0.05712138743
414	0.05698725445
415	0.05679487997
416	0.05663805781
417	0.0564210235
418	0.05623068523
419	0.05607113542
420	0.05595189314
421	0.05574843129
422	0.05563128201
423	0.05553043941
424	0.05540416425
425	0.05523057139
426	0.05507532958
427	0.05495753109
428	0.05483227315
429	0.05467493937
430	0.05451321841
431	0.05430674635
432	0.05411065243
433	0.05390117275
434	0.05378854942
435	0.05356626054
436	0.05334873923
437	0.05324378272
438	0.05300806421
439	0.05287211148
440	0.0527320714
441	0.0525155334
442	0.05228992219
443	0.05215061842
444	0.05200161075
445	0.05186941451
446	0.05172699194
447	0.05155019623
448	0.05130922463
449	0.0511783055
450	0.05109708693
451	0.05094981648
452	0.05081762775
453	0.05074609223
454	0.05066877022
455	0.05062204193
456	0.05042240473
457	0.05035440487
458	0.05024043654
459	0.05007984669
460	0.04993114706
461	0.04982374086
462	0.0497296541
463	0.0496030185
464	0.04948054409
465	0.04939674541
466	0.04917368585
467	0.04906477813
468	0.04892583278
469	0.04882625574
470	0.0487851853
471	0.04860286508
472	0.04840856993
473	0.04831372454
474	0.0481247743
475	0.04801292799
476	0.04792231429
477	0.04780618747
478	0.04774223638
479	0.04765274491
480	0.04751616372
481	0.04734372445
482	0.04720429602
483	0.04708463577
484	0.0469917076
485	0.04683323994
486	0.04675266316
487	0.04652269052
488	0.04640638702
489	0.04627712925
490	0.04620322534
491	0.04613716389
492	0.04595797889
493	0.04585086504
494	0.04572724915
495	0.04556392213
496	0.04548839556
497	0.04541017085
498	0.04536204225
499	0.04525030875
