iter	Passed	Remaining
0	3	1691
1	4	1063
2	6	1076
3	8	1077
4	10	1078
5	13	1131
6	15	1117
7	23	1424
8	41	2241
9	63	3089
10	64	2870
11	66	2687
12	68	2562
13	75	2629
14	77	2518
15	79	2408
16	81	2308
17	82	2220
18	84	2139
19	86	2065
20	87	1998
21	89	1936
22	90	1879
23	92	1827
24	93	1780
25	95	1736
26	96	1695
27	98	1657
28	99	1621
29	102	1598
30	103	1565
31	104	1534
32	106	1506
33	107	1480
34	109	1454
35	111	1430
36	112	1408
37	114	1386
38	115	1366
39	117	1347
40	118	1330
41	120	1312
42	121	1294
43	123	1278
44	124	1262
45	126	1248
46	127	1233
47	129	1219
48	131	1206
49	132	1193
50	134	1180
51	135	1168
52	137	1156
53	138	1145
54	140	1134
55	141	1124
56	143	1113
57	144	1103
58	146	1093
59	147	1084
60	149	1074
61	150	1066
62	152	1057
63	153	1049
64	155	1040
65	156	1032
66	158	1024
67	159	1016
68	161	1008
69	163	1001
70	164	994
71	166	987
72	167	980
73	169	973
74	170	966
75	172	959
76	173	953
77	175	947
78	176	941
79	178	935
80	179	928
81	181	922
82	182	917
83	184	911
84	185	906
85	187	900
86	188	895
87	190	890
88	191	885
89	193	880
90	194	875
91	196	870
92	197	865
93	199	860
94	200	855
95	202	851
96	203	847
97	205	842
98	206	838
99	208	833
100	209	829
101	211	824
102	213	823
103	215	819
104	216	815
105	218	811
106	219	807
107	221	803
108	222	799
109	224	795
110	225	791
111	227	787
112	228	783
113	230	779
114	231	776
115	233	772
116	234	768
117	236	765
118	237	761
119	239	757
120	240	754
121	242	750
122	243	747
123	245	743
124	246	740
125	248	736
126	249	733
127	251	730
128	252	727
129	254	724
130	255	720
131	257	717
132	258	714
133	260	711
134	261	708
135	263	704
136	264	701
137	266	698
138	268	696
139	269	693
140	271	690
141	272	687
142	274	685
143	276	683
144	277	680
145	279	677
146	281	675
147	283	673
148	284	670
149	286	667
150	287	664
151	289	661
152	290	659
153	292	656
154	293	653
155	295	650
156	296	648
157	298	645
158	299	642
159	301	640
160	302	637
161	304	634
162	305	632
163	307	629
164	308	627
165	310	624
166	312	622
167	313	619
168	315	617
169	316	614
170	318	612
171	320	610
172	321	608
